"EVENT_TYPE","TIMESTAMP","REQUEST_ID","ORGANIZATION_ID","USER_ID","RUN_TIME","CPU_TIME","URI","SESSION_KEY","LOGIN_KEY","USER_TYPE","REQUEST_STATUS","DB_TOTAL_TIME","ENTITY_NAME","DISPLAY_TYPE","RENDERING_TYPE","REPORT_ID","ROW_COUNT","NUMBER_EXCEPTION_FILTERS","NUMBER_COLUMNS","AVERAGE_ROW_SIZE","SORT","DB_BLOCKS","DB_CPU_TIME","NUMBER_BUCKETS","TIMESTAMP_DERIVED","USER_ID_DERIVED","CLIENT_IP","URI_ID_DERIVED","REPORT_ID_DERIVED","ORIGIN"
"Report","20220620003917.456","4jchEBYdIStvxOG-mN5IE-","00D0b000000GaMp","0052R00000A02Ep","5340","133","N/A","","","Standard","","5186953533","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","850","20","0","2022-06-20T00:39:17.456Z","0052R00000A02EpQAJ","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620003925.175","TID:7859899600000b8708","00D0b000000GaMp","0052R000009TqVB","597","256","/aura","4H+hWgFPvvghF2nJ","MBxCcmcNRyxitlgC","Standard","","348644682","","H","","00O2R0000043lHL","1","0","14","716","","870","20","0","2022-06-20T00:39:25.175Z","0052R000009TqVBQA0","132.237.171.41","","00O2R0000043lHLUAY","ReportRunFromLightning"
"Report","20220620003936.258","4jchFF5VFI0SVtG-mNMvZ-","00D0b000000GaMp","0056P000000xUbk","6012","153","N/A","","","Standard","","5790088732","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","772","50","0","2022-06-20T00:39:36.258Z","0056P000000xUbkQAE","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620003946.601","TID:1008905900000a4444","00D0b000000GaMp","0050b000005CdyO","608","224","/aura","hDgZQH/PgxYQGtGk","Cjh4vfn70pfk1gJT","Standard","","384245466","","H","","00O0b000006iNwd","2","0","21","1335","","945","20","0","2022-06-20T00:39:46.601Z","0050b000005CdyOAAS","163.244.182.14","","00O0b000006iNwdEAE","ReportRunFromLightning"
"Report","20220620003947.487","SLB:290541a4009371449b3d444101aa402e","00D0b000000GaMp","0050b000004KNJd","4676","228","/00O2R000004F38wUAC","ZaqmC1unvkkpBlmP","PHqRk25LYcwbqRng","Standard","S","6370850689","","H","C","00O2R000004F38w","667","0","16","897","CASE_NUMBER.up","5846","30","1","2022-06-20T00:39:47.487Z","0050b000004KNJdAAO","168.159.160.201","00O2R000004F38wUAC","00O2R000004F38wUAC","ReportExported"
"Report","20220620003949.946","4jchFu0w7YLgcOG-mNOn--","00D0b000000GaMp","0051P000003jbDG","8443","151","N/A","","","Standard","","6185921507","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","914","40","0","2022-06-20T00:39:49.946Z","0051P000003jbDGQAY","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
"Report","20220620003954.424","TID:74379000000603a0a7","00D0b000000GaMp","0050b000004KCdz","661","180","/aura","kOJNylQ3+RVFxL1L","U20SuxmkkqKkThdu","Standard","","689513132","","H","","00O0b000004AoOP","108","0","12","551","","1009","40","0","2022-06-20T00:39:54.424Z","0050b000004KCdzAAG","143.166.255.114","","00O0b000004AoOPEA0","ReportRunFromLightning"
"Report","20220620004003.607","SLB:3998eb1111e3663c58786b5e4aa82964","00D0b000000GaMp","0050b000004KNJd","7011","423","/00O2R000004F38wUAC","YMNMlj6+G5wIFwfh","GQMNVEui2FmftMMR","Standard","S","10146895445","","H","W","00O2R000004F38w","667","0","16","897","CASE_NUMBER.up","9127","40","1","2022-06-20T00:40:03.607Z","0050b000004KNJdAAO","168.159.160.201","00O2R000004F38wUAC","00O2R000004F38wUAC","ReportRunFromClassic"
"Report","20220620004005.046","4jchHF_QgJqjoOG-mOzZV-","00D0b000000GaMp","0056P000000xYil","310","231","N/A","","","Standard","","85170853","","H","","00O2R0000043lHK","4","0","14","507","0720b000001dyJw.up","1433","50","0","2022-06-20T00:40:05.046Z","0056P000000xYilQAE","","","00O2R0000043lHKUAY","DashboardComponentUpdated"
"Report","20220620004007.444","4jchH7FS5TvSl8G-mNO8w-","00D0b000000GaMp","0056P000000DhoK","4943","126","N/A","","","Standard","","4787361970","","S","","00O0b000004kkZK","0","0","6","0","0720b000001dxwL.up","851","30","0","2022-06-20T00:40:07.444Z","0056P000000DhoKQAS","","","00O0b000004kkZKEAY","ChartRenderedInEmbeddedAnalyticsApp"
